Rank,PaperID,Score
1,204e3073870fae3d05bcbc2f6a8e263d9b72e776,0.38850436
2,5bfd8d40bc071fffaf93685a46974b122ee4239d,0.02424849
3,735d547fc75e0772d2a78c46a1cc5fad7da1474c,0.01648534
4,2e9d221c206e9503ceb452302d68d10e293f2a10,0.01319501
5,cea967b59209c6be22829699f05b8b1ac4dc092d,0.01248077
6,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,0.01243392
7,0b544dfe355a5070b60986319a3f51fb45d1348e,0.01210158
8,6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17,0.01055522
9,2c03df8b48bf3fa39054345bafabfeff15bfd11d,0.01044956
10,a6cb366736791bcccc5c8639de5a8f9636bf87e8,0.01023043
11,0b44fcbeea9415d400c5f5789d6b892b6f98daff,0.00947681
12,93499a7c7f699b6630a86fad964536f9423bb6d0,0.00946271
13,78a9513e70f596077179101f6cb6eadc51602039,0.00934085
14,c6850869aa5e78a107c378d2e8bfa39633158c0c,0.00929433
15,f52de7242e574b70410ca6fb70b79c811919fc00,0.00920661
16,47570e7f63e296f224a0e7f9a0d08b0de3cbaf40,0.00912174
17,2e5f2b57f4c476dd69dc22ccdf547e48f40a994c,0.00897744
18,b60abe57bc195616063be10638c6437358c81d1e,0.00893850
19,2f2d8f8072e5cc9b296fad551f65f183bdbff7aa,0.00880267
20,1518039b5001f1836565215eb047526b3ac7f462,0.00874685
